libID,raw,trim,to.be.aligned,secondary.align,align,paired,R1.paired,R2.paired,align.paired,both.align.paired,one.align.paired,PCT_PF_ALIGNED,PF_BASES,PF_ALIGNED_BASES,CODING_BASES,UTR_BASES,INTRONIC_BASES,INTERGENIC_BASES,NUM_R1_TRANSCRIPT_STRAND_READS,NUM_R2_TRANSCRIPT_STRAND_READS,NUM_UNEXPLAINED_READS,PCT_R1_TRANSCRIPT_STRAND_READS,PCT_R2_TRANSCRIPT_STRAND_READS,PCT_CODING_BASES,PCT_UTR_BASES,PCT_INTRONIC_BASES,PCT_INTERGENIC_BASES,PCT_MRNA_BASES,PCT_USABLE_BASES,MEDIAN_CV_COVERAGE,MEDIAN_5PRIME_BIAS,MEDIAN_3PRIME_BIAS,MEDIAN_5PRIME_TO_3PRIME_BIAS,filtered.to.be.aligned,filtered.align,filtered.paired,filtered.R1.paired,filtered.R2.paired,filtered.align.paired,filtered.both.align.paired,Assigned,Unassigned_NoFeatures,Unassigned_Ambiguity
1_UWID_051_MAC,35832052,35648183,95760269,62307314,95760269,33452955,16727936,16725019,33449538,33449538,3417,0.9950928407278994,1428566837,1421556632,391564499,489871308,274081413,266039412,201555,8170750,88775,0.024074,0.975926,0.275448,0.344602,0.192804,0.187147,0.62005,0.617007,0.974475,0.851805,0.095327,3.188885,20837042,20837042,20837042,10418521,10418521,20837042,20837042,6870960,2910151,637410
10_C289_Media,47852446,47725299,118205146,73758568,118205146,44446578,22225498,22221080,44441434,44441434,5144,0.9946362617737021,1899030223,1888844322,540152062,596427208,402629275,349635777,279049,10661096,117568,0.025507,0.974493,0.28597,0.315763,0.213162,0.185106,0.601733,0.598505,0.904987,0.842831,0.092792,4.463415,29424200,29424200,29424200,14712100,14712100,29424200,29424200,9310257,4509512,892331
11_C242_MAC,42067878,41941516,110419740,71250188,110419740,39169552,19586659,19582893,39165212,39165212,4340,0.9950176419005923,1673253675,1664916926,438305328,564845870,358262983,303502745,244479,9238461,87890,0.025781,0.974219,0.26326,0.339264,0.215184,0.182293,0.602523,0.599521,0.937462,0.83105,0.088101,4.319751,24771086,24771086,24771086,12385543,12385543,24771086,24771086,7761464,3877738,746341
12_C242_Media,42140308,41983470,110215320,71205788,110215320,39009532,19506720,19502812,39005022,39005022,4510,0.9948238136887396,1666177854,1657553407,471943357,555258696,320463002,309888352,246348,9605863,93387,0.025004,0.974996,0.284723,0.334987,0.193335,0.186955,0.61971,0.616502,0.891591,0.850693,0.101258,4.084848,24743026,24743026,24743026,12371513,12371513,24743026,24743026,8112362,3475425,783726
13_UWID_063_MAC,34881552,34822471,90195623,57321847,90195623,32873776,16438435,16435341,32870140,32870140,3636,0.995351345519433,1405573382,1399039357,405422408,484079511,266575775,242961663,213111,8304007,81916,0.025021,0.974979,0.289786,0.346009,0.190542,0.173663,0.635795,0.632839,0.944536,0.801415,0.087108,4.986702,21166374,21166374,21166374,10583187,10583187,21166374,21166374,7064231,2857903,661053
14_UWID_063_Media,39945328,39875506,110282587,72612932,110282587,37669655,18836649,18833006,37665344,37665344,4311,0.9952305148779353,1610445531,1602764535,441488307,579639792,289736801,291899635,248770,9394515,91862,0.025797,0.974203,0.275454,0.36165,0.180773,0.182123,0.637104,0.634066,0.935628,0.828893,0.098786,3.88134,22920356,22920356,22920356,11460178,11460178,22920356,22920356,7589325,3123908,746945
15_UWID_064_MAC,41804660,41741639,101538553,62257468,101538553,39281085,19642413,19638672,39276606,39276606,4479,0.9950859110904704,1680006437,1671750736,509422530,558068576,327527448,276732182,256864,10034050,102253,0.02496,0.97504,0.304724,0.333823,0.195919,0.165534,0.638547,0.635409,0.907222,0.819108,0.090935,4.671861,26417652,26417652,26417652,13208826,13208826,26417652,26417652,8837230,3555955,815641
16_UWID_064_Media,42389642,42332419,101980654,62179204,101980654,39801450,19902804,19898646,39796674,39796674,4776,0.9952377705475605,1702294919,1694188200,539014518,549788951,319923506,285461225,267614,10347983,108980,0.02521,0.97479,0.318155,0.324515,0.188836,0.168494,0.64267,0.639609,0.929177,0.845573,0.090073,4.088259,26932020,26932020,26932020,13466010,13466010,26932020,26932020,9111083,3478681,876246
17_UWID_068_MAC,42569082,42411724,101839309,62927479,101839309,38911830,19457732,19454098,38907508,38907508,4322,0.9944672014840804,1662100829,1652904760,399022493,512147285,403104272,338630710,259052,8451773,93534,0.029739,0.970261,0.241407,0.309847,0.243876,0.20487,0.551254,0.548204,0.939087,0.822451,0.088847,4.204453,25823716,25823716,25823716,12911858,12911858,25823716,25823716,7454055,4772127,685676
18_UWID_068_Media,44333186,44151801,104227754,63696508,104227754,40531246,20267601,20263645,40526696,40526696,4550,0.9947787684996297,1731210539,1722171488,399821916,511816280,460521034,350012258,244711,8475298,87396,0.028063,0.971937,0.232162,0.297192,0.267407,0.203239,0.529354,0.52659,0.931861,0.848817,0.095782,4.486031,27374532,27374532,27374532,13687266,13687266,27374532,27374532,7497543,5513886,675837
19_UWID_070_MAC,41195166,41064176,111870184,73659885,111870184,38210299,19106941,19103358,38206078,38206078,4221,0.9949207194316436,1632600304,1624307869,439270635,579066902,290122317,315848015,259497,9386122,103918,0.026903,0.973097,0.270436,0.356501,0.178613,0.194451,0.626936,0.623752,0.932899,0.816326,0.08343,3.665394,23242782,23242782,23242782,11621391,11621391,23242782,23242782,7728084,3120678,772629
2_UWID_051_Media,40434010,40322792,99479595,61446109,99479595,38033486,19018411,19015075,38029638,38029638,3848,0.9954096101267759,1625477183,1618015609,472036430,525622049,345352510,275004620,224937,9404165,99591,0.02336,0.97664,0.291738,0.324856,0.213442,0.169964,0.616594,0.613763,0.922446,0.82436,0.097868,4.535757,25394400,25394400,25394400,12697200,12697200,25394400,25394400,8244348,3712782,740070
20_UWID_070_Media,34751472,34639427,84763650,52338546,84763650,32425104,16214025,16211079,32421620,32421620,3484,0.9952128576122105,1385541616,1378908831,359462545,425964932,350072519,243408835,199995,7319891,81587,0.026595,0.973405,0.260686,0.308914,0.253876,0.176523,0.569601,0.566874,0.925585,0.83348,0.0931,4.025,21747340,21747340,21747340,10873670,10873670,21747340,21747340,6432459,3848539,592672
21_UWID_071_MAC,40226424,40123545,93644834,55855382,93644834,37789452,18896515,18892937,37785276,37785276,4176,0.995364839373135,1615307128,1607819920,447397080,494096133,402137266,264189441,223938,8864625,90810,0.02464,0.97536,0.278263,0.307308,0.250113,0.164315,0.585571,0.582857,0.936332,0.849919,0.093458,4.479326,26183822,26183822,26183822,13091911,13091911,26183822,26183822,7988768,4408771,694372
22_UWID_071_Media,34410388,34319444,81755154,49480247,81755154,32274907,16138937,16135970,32271396,32271396,3511,0.9951289631706913,1379574254,1372854297,395977615,426937907,320499395,229439380,196432,7752058,80821,0.024713,0.975287,0.288434,0.310986,0.233455,0.167126,0.599419,0.5965,0.925661,0.851459,0.095187,4.402778,22038182,22038182,22038182,11019091,11019091,22038182,22038182,6880419,3517941,620731
23_C343_MAC,41229894,41108281,103352260,64798564,103352260,38553696,19278585,19275111,38549436,38549436,4260,0.9948428633590747,1647657914,1639160717,352903893,487974516,466874786,331407522,222164,7657172,83020,0.028196,0.971804,0.215295,0.297698,0.284826,0.202181,0.512993,0.510348,0.984164,0.822899,0.093008,4.455882,25474580,25474580,25474580,12737290,12737290,25474580,25474580,6870928,5253818,612544
24_C343_Media,47491448,47370545,125006766,80706647,125006766,44300119,22152221,22147898,44294966,44294966,5153,0.99473422234039,1893142978,1883174108,408730397,590129256,442650084,441664371,286827,8998341,102633,0.030891,0.969109,0.217043,0.313369,0.235055,0.234532,0.530413,0.52762,0.978213,0.821981,0.090875,4.220708,28093816,28093816,28093816,14046908,14046908,28093816,28093816,7916359,5391972,738577
25_C346_MAC,40318842,39987731,107052036,70782949,107052036,36269087,18136056,18133031,36265370,36265370,3717,0.9939584665602268,1546221848,1536880297,317628425,492964032,314754662,411533178,243186,7324337,85304,0.032135,0.967865,0.206671,0.320756,0.204801,0.267772,0.527427,0.524241,0.95282,0.907265,0.085385,4.252618,21895898,21895898,21895898,10947949,10947949,21895898,21895898,6437178,3873287,637484
26_C346_Media,42791152,42358569,119380483,81212075,119380483,38168408,19085956,19082452,38164186,38164186,4222,0.9938634512301552,1626369540,1616389244,350242543,557591122,270731167,437824412,259587,8165768,93532,0.03081,0.96919,0.216682,0.344961,0.167491,0.270866,0.561643,0.558196,0.983821,0.901601,0.075311,3.258598,21762090,21762090,21762090,10881045,10881045,21762090,21762090,6901990,3261499,717556
27_C350_MAC,38223018,37985622,98793539,64144132,98793539,34649407,17326129,17323278,34645884,34645884,3523,0.9940924024407536,1478816543,1470080290,272638780,451695314,310617791,435128405,226055,6411214,78576,0.034058,0.965942,0.185458,0.307259,0.211293,0.29599,0.492717,0.489807,0.990858,0.841695,0.078408,3.337182,21421192,21421192,21421192,10710596,10710596,21421192,21421192,6068883,4051656,590057
28_C350_Media,32472900,32337868,68478095,38756224,68478095,29721871,14862274,14859597,29718748,29718748,3123,0.9946822328719052,1269751728,1262999484,182481002,283147158,370538725,426832599,213373,4128549,59448,0.049143,0.950857,0.144482,0.224186,0.29338,0.337952,0.368669,0.366708,0.965743,0.841687,0.091987,3.849363,21526756,21526756,21526756,10763378,10763378,21526756,21526756,4236698,6137846,388834
29_UWID_073_MAC,41763538,41683672,99973315,60500153,99973315,39473162,19738263,19734899,39469186,39469186,3976,0.9953847447570405,1687947381,1680157073,529959895,550863765,328636561,270696852,255790,10185806,104945,0.024497,0.975503,0.315423,0.327864,0.195599,0.161114,0.643287,0.640318,0.913306,0.783662,0.088718,4.982355,26941100,26941100,26941100,13470550,13470550,26941100,26941100,9232149,3465428,772973
3_UWID_082_MAC,27899582,27819424,71566639,45370639,71566639,26196000,13099123,13096877,26193288,26193288,2712,0.9951126049367753,1119474675,1114003360,326295059,374129336,219012782,194566183,164340,6578194,70419,0.024374,0.975626,0.292903,0.335842,0.1966,0.174655,0.628745,0.625672,0.919134,0.853209,0.096256,3.693723,17008906,17008906,17008906,8504453,8504453,17008906,17008906,5631301,2352798,520354
