cyto,ID,Media,Stim,Wells,Replicate,OD Values,Concentration,Adj. Conc.,Notes
IL6,AM17,10% autologous,MOI 2.5,A1,1,,NA,NA,failed well
IL6,AM17,10% autologous,MOI 2.5,B1,2,2.31,411.217,4112.17,
IL6,AM17,10% autologous,MOI 2.5,C1,3,2.055,321.681,3216.81,
IL6,AM17,10% autologous,Media,D1,1,0.003,NA,0,
IL6,AM17,10% autologous,Media,E1,2,0.007,NA,0,
IL6,AM17,10% autologous,Media,F1,3,0.158,10.951,109.51,
IL6,AM17,10% FBS,MOI 2.5,A2,1,2.355,430.431,4304.31,
IL6,AM17,10% FBS,MOI 2.5,B2,2,2.046,319.258,3192.58,
IL6,AM17,10% FBS,MOI 2.5,C2,3,2.32,415.697,4156.97,
IL6,AM17,10% FBS,Media,D2,1,0.032,NA,0,
IL6,AM17,10% FBS,Media,E2,2,0.026,NA,0,
IL6,AM17,10% FBS,Media,F2,3,0.006,NA,0,
IL6,AM17,20% FBS,MOI 2.5,A3,1,2.154,353.295,3532.95,
IL6,AM17,20% FBS,MOI 2.5,B3,2,1.936,288.34,2883.4,
IL6,AM17,20% FBS,MOI 2.5,C3,3,1.803,255.188,2551.88,
IL6,AM17,20% FBS,Media,D3,1,0.009,NA,0,
IL6,AM17,20% FBS,Media,E3,2,0.008,NA,0,
IL6,AM17,20% FBS,Media,F3,3,0.013,NA,0,
IL6,AM18,10% autologous,MOI 2.5,A4,1,2.115,340.455,3404.55,
IL6,AM18,10% autologous,MOI 2.5,B4,2,2.288,402.653,4026.53,
IL6,AM18,10% autologous,MOI 2.5,C4,3,2.301,407.574,4075.74,
IL6,AM18,10% autologous,Media,D4,1,0.128,6.171,61.71,
IL6,AM18,10% autologous,Media,E4,2,0.914,103.545,1035.45,
IL6,AM18,10% autologous,Media,F4,3,0.034,NA,0,
IL6,AM18,10% FBS,MOI 2.5,A5,1,2.679,617.735,6177.35,
IL6,AM18,10% FBS,MOI 2.5,B5,2,2.591,555.798,5557.98,
IL6,AM18,10% FBS,MOI 2.5,C5,3,2.916,858.857,8588.57,
IL6,AM18,10% FBS,Media,D5,1,0.009,NA,0,
IL6,AM18,10% FBS,Media,E5,2,0.006,NA,0,
IL6,AM18,10% FBS,Media,F5,3,0.048,NA,0,
IL6,AM18,20% FBS,MOI 2.5,A6,1,2.31,411.587,4115.87,
IL6,AM18,20% FBS,MOI 2.5,B6,2,2.472,486.768,4867.68,
IL6,AM18,20% FBS,MOI 2.5,C6,3,2.104,337.066,3370.66,
IL6,AM18,20% FBS,Media,D6,1,0.015,NA,0,
IL6,AM18,20% FBS,Media,E6,2,0.015,NA,0,
IL6,AM18,20% FBS,Media,F6,3,0.007,NA,0,
IL1b,AM17,10% autologous,MOI 2.5,A1,1,0.948,114.786,1147.86,
IL1b,AM17,10% autologous,MOI 2.5,B1,2,1.269,164.572,1645.72,
IL1b,AM17,10% autologous,MOI 2.5,C1,3,1.144,144.327,1443.27,
IL1b,AM17,10% autologous,Media,D1,1,-0.038,NA,0,
IL1b,AM17,10% autologous,Media,E1,2,-0.028,NA,0,
IL1b,AM17,10% autologous,Media,F1,3,-0.025,NA,0,
IL1b,AM17,10% FBS,MOI 2.5,A2,1,0.358,39.316,393.16,
