donorID,cell,symbol,ENSEMBLID,batch,cryo.rank.pos,fresh.rank.pos,cryo.rank.neg,fresh.rank.neg,cryo.FC,fresh.FC
AM18,AM,,ENSG00000000003,different,11446,13436,2929,944,-0.5726559098274862,-0.9787057067950147
AM21,AM,,ENSG00000000003,same,11005,11043,3375,3335,-0.5116586049812186,-0.5154122216922674
AM18,AM,,ENSG00000000419,different,3087,5171,11291,9209,0.45591324236928443,0.1311708974926038
AM21,AM,,ENSG00000000419,same,3529,3550,10851,10830,0.44994395529243025,0.44432325204784373
AM18,AM,,ENSG00000000457,different,1752,2522,12628,11858,0.8872705450488896,0.43792995319473826
AM21,AM,,ENSG00000000457,same,1911,3042,12469,11338,1.1479799247343938,0.5613846683346084
AM18,AM,,ENSG00000000460,different,8251,8726,6129,5654,-0.04262908459121517,-0.10550824611492216
AM21,AM,,ENSG00000000460,same,3436,2969,10943,11410,0.47192830512794837,0.5835218275626515
AM18,AM,,ENSG00000000938,different,7563,7414,6817,6966,0.027740591227466638,-0.019734801129200008
AM21,AM,,ENSG00000000938,same,8075,7025,6305,7355,-0.06589016907634537,0.09167935697079521
AM18,AM,,ENSG00000000971,different,70,97,14306,14283,5.632893001345547,4.119627219674243
AM21,AM,,ENSG00000000971,same,598,13328,13726,943,3.2057541917635874,-1.9660736307018327
AM18,AM,,ENSG00000001036,different,5359,6255,9021,8125,0.24809382158424054,0.055737813511022694
AM21,AM,,ENSG00000001036,same,7921,3596,6459,10783,-0.04780495895275383,0.4349260351767281
AM18,AM,,ENSG00000001084,different,3920,1328,10460,13052,0.3184682446144036,0.920020223202151
AM21,AM,,ENSG00000001084,same,2652,2383,11728,11997,0.7160354856121272,0.7821693690585168
AM18,AM,,ENSG00000001167,different,3181,2894,11199,11486,0.43798220521080555,0.3584868696481953
AM21,AM,,ENSG00000001167,same,4110,2900,10270,11480,0.33461859583756226,0.6042914938063655
AM18,AM,,ENSG00000001460,different,7602,9554,6776,4826,0.02380222973149948,-0.1701888706312049
AM21,AM,,ENSG00000001460,same,11124,3618,3256,10762,-0.5397954458205452,0.4303326801448062
