libID,well,ng.per.ml,A260,A280,A260.A280,A260.A230,RIN,ptID,IFN,IFN_ng.per.ml,cell,to.align,secondary.align,chimeric.align,PCR.dups,align,paired,R1.paired,R2.paired,properly paired ,both.align.paired,one.align.paired,both.align.paired.diffCHR,both.align.paired.diffCHR.mapq,align.filtered,PF_BASES,PF_ALIGNED_BASES,RIBOSOMAL_BASES,CODING_BASES,UTR_BASES,INTRONIC_BASES,INTERGENIC_BASES,IGNORED_READS,CORRECT_STRAND_READS,INCORRECT_STRAND_READS,NUM_R1_TRANSCRIPT_STRAND_READS,NUM_R2_TRANSCRIPT_STRAND_READS,NUM_UNEXPLAINED_READS,PCT_R1_TRANSCRIPT_STRAND_READS,PCT_R2_TRANSCRIPT_STRAND_READS,PCT_RIBOSOMAL_BASES,PCT_CODING_BASES,PCT_UTR_BASES,PCT_INTRONIC_BASES,PCT_INTERGENIC_BASES,PCT_MRNA_BASES,PCT_USABLE_BASES,PCT_CORRECT_STRAND_READS,MEDIAN_CV_COVERAGE,MEDIAN_5PRIME_BIAS,MEDIAN_3PRIME_BIAS,MEDIAN_5PRIME_TO_3PRIME_BIAS,percentaligned
6634.TH.1,A1,9.02,0.458,0.257,1.79,0.96,9.4,C352,IFNA8,10,MDM,75042482,4011930,0,0,75042482,71030552,35515875,35514677,71029178,71029178,1374,0,0,67805792,9847968553,9750032186,NA,4236733839,2976178857,2230094763,307024727,0,0,0,140488,21249844,1947214,0.006568,0.993432,NA,0.434535,0.305248,0.228727,0.03149,0.739783,0.732426,0,0.707491,0.314548,0.129912,2.038919,0.9035654231159359
6634.TH.2,A2,7.98,0.585,0.34,1.72,0.68,9.3,C352,IFNg,10,MDM,69453967,3271797,0,0,69453967,66182170,33091811,33090359,66180522,66180522,1648,0,0,63569244,9189411589,9093799408,NA,4419944515,2796911200,1587193205,289750488,0,0,0,131944,21713896,1667770,0.00604,0.99396,NA,0.486039,0.307562,0.174536,0.031862,0.793602,0.785345,0,0.592018,0.401089,0.152181,2.262577,0.915271607163922
6634.TH.3,A3,11,0.761,0.432,1.76,0.57,9.2,C352,IFNb,10,MDM,30915493,1667295,0,0,30915493,29248198,14624302,14623896,29247700,29247700,498,0,0,27908778,4038797613,3994288087,NA,1884068779,1241050599,752765416,116403293,0,0,0,58739,9170889,986880,0.006364,0.993636,NA,0.471691,0.310706,0.18846,0.029142,0.782397,0.773775,0,0.698002,0.355471,0.120872,2.211641,0.902744070747958
6634.TH.4,A4,14.1,0.323,0.146,2.21,0.94,8.7,C352,IFNL1,100,MDM,55122098,2731369,0,0,55122098,52390729,26196156,26194573,52388992,52388992,1737,0,0,50172376,7292628144,7228673817,NA,3271009004,2309651677,1398810590,249202546,0,0,0,102438,16636697,1168903,0.00612,0.99388,NA,0.452505,0.319513,0.193509,0.034474,0.772017,0.765247,0,0.599495,0.374677,0.168035,1.929556,0.9102043975176707
6634.TH.5,A5,11.1,0.576,0.327,1.76,0.53,9.5,C352,IFNe,100,MDM,80241264,3995796,0,0,80241264,76245468,38123541,38121927,76243688,76243688,1780,0,0,73033898,10610409608,10508310734,NA,4781340872,3237623985,2149420199,339925678,0,0,0,141682,24033571,1702587,0.005861,0.994139,NA,0.455006,0.308101,0.204545,0.032348,0.763107,0.755764,0,0.641999,0.372038,0.151782,2.038633,0.9101788077515828
6634.TH.6,A6,8.7,0.526,0.297,1.77,0.71,9.3,C352,untreated,0,MDM,62757291,3227917,0,0,62757291,59529374,29765877,29763497,59526836,59526836,2538,0,0,56920622,8260576455,8174111309,NA,3709902437,2656385232,1536226623,271597017,0,0,0,125771,18826806,1643273,0.006636,0.993364,NA,0.45386,0.324975,0.187938,0.033226,0.778835,0.770683,0,0.592795,0.405216,0.173843,2.117928,0.9069961608126138
6634.TH.7,A7,0,0.417,0.259,1.61,0.52,9.3,TRIMA_21,IFNA8,10,MDM,58791513,3335158,0,0,58791513,55456355,27729004,27727351,55454498,55454498,1857,0,0,52901150,7677314476,7598672640,NA,3086905993,2345174728,1881852116,284739803,0,0,0,140597,15774416,1594702,0.008834,0.991166,NA,0.406243,0.30863,0.247655,0.037472,0.714872,0.70755,0,0.690784,0.338859,0.144693,1.674549,0.8998092973045276
6634.TH.8,A8,0,0.801,0.527,1.52,0.38,9.3,TRIMA_21,IFNg,10,MDM,81749097,4180373,0,0,81749097,77568724,38785178,38783546,77566824,77566824,1900,0,0,74342242,10827844558,10736888272,NA,4333337248,3169117859,2781866243,452566922,0,0,0,208536,22394946,1267239,0.009226,0.990774,NA,0.403593,0.295162,0.259094,0.042151,0.698755,0.692885,0,0.684648,0.325116,0.159114,1.518249,0.9093952683049209
6634.TH.9,A9,0,1.742,1.143,1.52,0.6,9.4,TRIMA_21,IFNb,10,MDM,61871001,3052746,0,0,61871001,58818255,29409871,29408384,58816556,58816556,1699,0,0,56417334,8208538047,8133215003,NA,3544622408,2415868363,1890267853,282456379,0,0,0,154837,17949451,994151,0.008553,0.991447,NA,0.435821,0.297037,0.232413,0.034729,0.732858,0.726133,0,0.658344,0.33295400000000003,0.159626,1.556895,0.9118542303849262
6634.TH.10,A10,0,0.827,0.519,1.59,0.51,9.3,TRIMA_21,IFNL1,100,MDM,58307040,3140539,0,0,58307040,55166501,27584291,27582210,55164216,55164216,2285,0,0,52673372,7658026916,7583767218,NA,3248348508,2469971368,1581630960,283816382,0,0,0,137529,16780363,1377095,0.008129,0.991871,NA,0.428329,0.325692,0.208555,0.037424,0.754021,0.746709,0,0.661544,0.351297,0.167958,1.525106,0.9033792831877592
