AM-MDM-Mtb,MDM-IFN,ensembl_gene_id,symbol
AM,IFNA8,ENSG00000001629,ANKIB1
AM,IFNA8,ENSG00000003400,CASP10
AM,IFNA8,ENSG00000004399,PLXND1
AM,IFNA8,ENSG00000005302,MSL3
AM,IFNA8,ENSG00000008226,DLEC1
AM,IFNA8,ENSG00000008256,CYTH3
AM,IFNA8,ENSG00000010030,ETV7
AM,IFNA8,ENSG00000010165,METTL13
AM,IFNA8,ENSG00000013374,NUB1
AM,IFNA8,ENSG00000013375,PGM3
AM,IFNA8,ENSG00000016391,CHDH
AM,IFNA8,ENSG00000020633,RUNX3
AM,IFNA8,ENSG00000034677,RNF19A
AM,IFNA8,ENSG00000035720,STAP1
AM,IFNA8,ENSG00000038358,EDC4
AM,IFNA8,ENSG00000044459,CNTLN
AM,IFNA8,ENSG00000047932,GOPC
AM,IFNA8,ENSG00000048649,RSF1
AM,IFNA8,ENSG00000054598,FOXC1
AM,IFNA8,ENSG00000055208,TAB2
AM,IFNA8,ENSG00000055332,EIF2AK2
AM,IFNA8,ENSG00000058804,NDC1
AM,IFNA8,ENSG00000059758,CDK17
AM,IFNA8,ENSG00000060642,PIGV
AM,IFNA8,ENSG00000061936,SFSWAP
AM,IFNA8,ENSG00000064012,CASP8
AM,IFNA8,ENSG00000065060,BLTP3A
AM,IFNA8,ENSG00000066336,SPI1
AM,IFNA8,ENSG00000067064,IDI1
AM,IFNA8,ENSG00000067066,SP100
AM,IFNA8,ENSG00000067167,TRAM1
AM,IFNA8,ENSG00000067221,STOML1
AM,IFNA8,ENSG00000067248,DHX29
AM,IFNA8,ENSG00000068001,HYAL2
AM,IFNA8,ENSG00000068079,IFI35
AM,IFNA8,ENSG00000068305,MEF2A
AM,IFNA8,ENSG00000069020,MAST4
AM,IFNA8,ENSG00000069493,CLEC2D
AM,IFNA8,ENSG00000070756,PABPC1
AM,IFNA8,ENSG00000071564,TCF3
AM,IFNA8,ENSG00000071575,TRIB2
AM,IFNA8,ENSG00000075568,TMEM131
AM,IFNA8,ENSG00000075914,EXOSC7
AM,IFNA8,ENSG00000076108,BAZ2A
AM,IFNA8,ENSG00000077254,USP33
AM,IFNA8,ENSG00000077458,FAM76B
AM,IFNA8,ENSG00000078967,UBE2D4
AM,IFNA8,ENSG00000079263,SP140
AM,IFNA8,ENSG00000079277,MKNK1
AM,IFNA8,ENSG00000079337,RAPGEF3
AM,IFNA8,ENSG00000080007,DDX43
AM,IFNA8,ENSG00000083290,ULK2
AM,IFNA8,ENSG00000086848,ALG9
AM,IFNA8,ENSG00000087237,CETP
AM,IFNA8,ENSG00000088827,SIGLEC1
AM,IFNA8,ENSG00000089127,OAS1
AM,IFNA8,ENSG00000089692,LAG3
AM,IFNA8,ENSG00000090621,PABPC4
AM,IFNA8,ENSG00000091542,ALKBH5
AM,IFNA8,ENSG00000092148,HECTD1
AM,IFNA8,ENSG00000092850,TEKT2
AM,IFNA8,ENSG00000095787,WAC
AM,IFNA8,ENSG00000096968,JAK2
AM,IFNA8,ENSG00000099381,SETD1A
AM,IFNA8,ENSG00000099800,TIMM13
AM,IFNA8,ENSG00000099821,POLRMT
AM,IFNA8,ENSG00000099899,TRMT2A
AM,IFNA8,ENSG00000099904,ZDHHC8
AM,IFNA8,ENSG00000099954,CECR2
AM,IFNA8,ENSG00000099968,BCL2L13
AM,IFNA8,ENSG00000100023,PPIL2
AM,IFNA8,ENSG00000100034,PPM1F
AM,IFNA8,ENSG00000100124,ANKRD54
AM,IFNA8,ENSG00000100207,TCF20
AM,IFNA8,ENSG00000100220,RTCB
AM,IFNA8,ENSG00000100225,FBXO7
AM,IFNA8,ENSG00000100294,MCAT
AM,IFNA8,ENSG00000100336,APOL4
AM,IFNA8,ENSG00000100342,APOL1
AM,IFNA8,ENSG00000100413,POLR3H
AM,IFNA8,ENSG00000100422,CERK
AM,IFNA8,ENSG00000100490,CDKL1
AM,IFNA8,ENSG00000100596,SPTLC2
AM,IFNA8,ENSG00000101082,SLA2
AM,IFNA8,ENSG00000101138,CSTF1
AM,IFNA8,ENSG00000101342,TLDC2
AM,IFNA8,ENSG00000101546,RBFA
AM,IFNA8,ENSG00000101574,METTL4
AM,IFNA8,ENSG00000101596,SMCHD1
AM,IFNA8,ENSG00000102081,FMR1
