ensembl_gene_id,removed,entrezgene_id,hgnc_symbol,gene_biotype,chromosome_name,start_position,end_position
ENSG00000223972,not protein coding,NA,DDX11L1,transcribed_unprocessed_pseudogene,1,12010,13670
ENSG00000227232,not protein coding,NA,WASH7P,unprocessed_pseudogene,1,14404,29570
ENSG00000278267,not protein coding,102466751,MIR6859-1,miRNA,1,17369,17436
ENSG00000243485,not protein coding,NA,MIR1302-2HG,lncRNA,1,29554,31109
ENSG00000284332,not protein coding,100302278,MIR1302-2,miRNA,1,30366,30503
ENSG00000237613,not protein coding,645520,FAM138A,lncRNA,1,34554,36081
ENSG00000237613,not protein coding,124906933,FAM138A,lncRNA,1,34554,36081
ENSG00000268020,not protein coding,NA,OR4G4P,unprocessed_pseudogene,1,52473,53312
ENSG00000240361,not protein coding,NA,OR4G11P,transcribed_unprocessed_pseudogene,1,62949,63887
ENSG00000186092,rare,79501,OR4F5,protein_coding,1,65419,71585
ENSG00000238009,not protein coding,NA,,lncRNA,1,89295,133723
ENSG00000239945,not protein coding,NA,,lncRNA,1,89551,91105
ENSG00000233750,not protein coding,NA,CICP27,processed_pseudogene,1,131025,134836
ENSG00000268903,not protein coding,NA,,processed_pseudogene,1,135141,135895
ENSG00000269981,not protein coding,NA,,processed_pseudogene,1,137682,137965
ENSG00000239906,not protein coding,NA,,lncRNA,1,139790,140339
ENSG00000241860,not protein coding,NA,,lncRNA,1,141474,173862
ENSG00000222623,not protein coding,124904108,RNU6-1100P,snRNA,1,157784,157887
ENSG00000222623,not protein coding,124904706,RNU6-1100P,snRNA,1,157784,157887
ENSG00000222623,not protein coding,124906683,RNU6-1100P,snRNA,1,157784,157887
ENSG00000241599,not protein coding,NA,,lncRNA,1,160446,161525
ENSG00000279928,not protein coding,NA,DDX11L17,unprocessed_pseudogene,1,182696,184174
ENSG00000279457,not protein coding,NA,WASH9P,unprocessed_pseudogene,1,185217,195411
ENSG00000273874,not protein coding,102465909,MIR6859-2,miRNA,1,187891,187958
ENSG00000228463,not protein coding,NA,,transcribed_processed_pseudogene,1,257864,359681
ENSG00000286448,not protein coding,NA,,lncRNA,1,266855,268655
ENSG00000236679,not protein coding,NA,RPL23AP24,processed_pseudogene,1,347982,348366
ENSG00000236601,not protein coding,NA,,lncRNA,1,358857,366052
ENSG00000237094,not protein coding,NA,,transcribed_unprocessed_pseudogene,1,485026,485208
ENSG00000269732,not protein coding,NA,WBP1LP7,processed_pseudogene,1,439870,440232
ENSG00000284733,rare,81399,OR4F29,protein_coding,1,450740,451678
ENSG00000284733,rare,729759,OR4F29,protein_coding,1,450740,451678
ENSG00000233653,not protein coding,NA,CICP7,processed_pseudogene,1,487101,489906
ENSG00000250575,not protein coding,NA,,unprocessed_pseudogene,1,491225,493241
ENSG00000278757,not protein coding,124904108,,snRNA,1,516376,516479
ENSG00000278757,not protein coding,124904706,,snRNA,1,516376,516479
ENSG00000278757,not protein coding,124906683,,snRNA,1,516376,516479
ENSG00000230021,not protein coding,101928626,,transcribed_processed_pseudogene,1,586071,827796
ENSG00000230021,not protein coding,124901156,,transcribed_processed_pseudogene,1,586071,827796
ENSG00000235146,not protein coding,NA,,lncRNA,1,587629,594768
ENSG00000225972,not protein coding,NA,MTND1P23,unprocessed_pseudogene,1,629062,629433
ENSG00000225630,not protein coding,NA,MTND2P28,unprocessed_pseudogene,1,629640,630683
ENSG00000237973,not protein coding,NA,MTCO1P12,unprocessed_pseudogene,1,631074,632616
ENSG00000278791,not protein coding,NA,,miRNA,1,632325,632413
ENSG00000229344,not protein coding,NA,MTCO2P12,unprocessed_pseudogene,1,632757,633438
ENSG00000240409,not protein coding,NA,MTATP8P1,unprocessed_pseudogene,1,633535,633741
ENSG00000248527,not protein coding,NA,MTATP6P1,unprocessed_pseudogene,1,633696,634376
ENSG00000198744,not protein coding,NA,MTCO3P12,unprocessed_pseudogene,1,634376,634922
ENSG00000268663,not protein coding,NA,WBP1LP6,processed_pseudogene,1,674842,675265
ENSG00000284662,rare,81399,OR4F16,protein_coding,1,685716,686654
ENSG00000229376,not protein coding,NA,CICP3,processed_pseudogene,1,722092,724903
ENSG00000228327,not protein coding,NA,,transcribed_unprocessed_pseudogene,1,764723,774280
ENSG00000223181,not protein coding,NA,RNU6-1199P,snRNA,1,758233,758336
ENSG00000229905,not protein coding,NA,,lncRNA,1,760911,761989
ENSG00000237491,not protein coding,NA,LINC01409,lncRNA,1,778747,810065
ENSG00000285268,not protein coding,NA,,transcribed_processed_pseudogene,1,781937,782050
ENSG00000230092,not protein coding,NA,,transcribed_unprocessed_pseudogene,1,805799,810161
ENSG00000177757,not protein coding,400728,FAM87B,lncRNA,1,817371,819837
ENSG00000228794,not protein coding,643837,LINC01128,lncRNA,1,825138,859446
ENSG00000225880,not protein coding,NA,LINC00115,lncRNA,1,824228,827539
ENSG00000288531,not protein coding,107984850,,lncRNA,1,860226,868202
ENSG00000230368,not protein coding,284593,FAM41C,lncRNA,1,868071,876903
ENSG00000234711,not protein coding,NA,TUBB8P11,unprocessed_pseudogene,1,873292,874349
ENSG00000283040,not protein coding,NA,,transcribed_unprocessed_pseudogene,1,874529,877234
ENSG00000272438,not protein coding,NA,,lncRNA,1,904834,915976
ENSG00000230699,not protein coding,NA,,lncRNA,1,911435,914948
ENSG00000241180,not protein coding,NA,,lncRNA,1,914171,914971
ENSG00000223764,not protein coding,100130417,LINC02593,lncRNA,1,916865,921016
ENSG00000272512,not protein coding,NA,,lncRNA,1,995966,998051
ENSG00000231702,not protein coding,NA,,processed_pseudogene,1,1008076,1008229
ENSG00000224969,not protein coding,NA,,lncRNA,1,1011997,1013193
ENSG00000242590,not protein coding,NA,,lncRNA,1,1055033,1056116
ENSG00000217801,not protein coding,NA,,transcribed_unprocessed_pseudogene,1,1063079,1069355
